,PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,Unnamed: 8
8020,LS18305203,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/03/2020,25.0,0.0,
8021,LS18400907,05/03/2020,MAIN STREET CP - GARFORTH                                   ,87 IN DISABLED BAY WITHOUT BADGE,70,05/03/2020,0.0,0.0,
8022,LS18400907,05/03/2020,MAIN STREET CP - GARFORTH                                   ,87 IN DISABLED BAY WITHOUT BADGE,70,10/03/2020,0.0,0.0,
8023,LS18400918,05/03/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,05/03/2020,25.0,0.0,
8024,LS18400918,05/03/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,13/03/2020,25.0,0.0,
8025,LS18400918,05/03/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,16/03/2020,25.0,0.0,
8026,LS18400940,05/03/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,05/03/2020,25.0,0.0,
8027,LS18400940,05/03/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,06/03/2020,25.0,0.0,
8028,LS18401003,05/03/2020,MAIN STREET CP - GARFORTH                                   ,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,05/03/2020,35.0,0.0,
8029,LS18401003,05/03/2020,MAIN STREET CP - GARFORTH                                   ,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,12/03/2020,35.0,0.0,
8030,LS18603074,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
8031,LS20601038,05/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,05/03/2020,25.0,0.0,
8032,LS20601049,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/03/2020,0.0,0.0,
8033,LS2060105A,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/03/2020,25.0,0.0,
8034,LS20601060,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/03/2020,25.0,0.0,
8035,LS20601082,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,50.0,
8036,LS20601093,05/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,05/03/2020,50.0,0.0,
8037,LS22600659,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,50.0,0.0,
8038,LS2260066A,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,11/03/2020,25.0,0.0,
8039,LS22600670,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,25.0,50.0,
8040,LS23602638,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,05/03/2020,25.0,0.0,
8041,LS23602638,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,10/03/2020,25.0,0.0,
8042,LS23703715,05/03/2020,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,25.0,0.0,
8043,LS23703726,05/03/2020,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,17/03/2020,25.0,0.0,
8044,LS23703737,05/03/2020,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,25.0,0.0,
8045,LS23703737,05/03/2020,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,18/03/2020,25.0,0.0,
8046,LS23900975,05/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,05/03/2020,25.0,0.0,
8047,LS23900975,05/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2020,25.0,0.0,
8048,LS24201654,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,83.0,
8049,LS24201665,05/03/2020,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,31/03/2020,50.0,0.0,
8050,LS24902590,05/03/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,11/03/2020,0.0,0.0,
8051,LS25600076,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
8052,LS25600076,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/03/2020,25.0,0.0,
8053,LS25600087,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
8054,LS25600087,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/03/2020,25.0,0.0,
8055,LS25600098,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
8056,LS25600098,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/03/2020,25.0,0.0,
8057,LS25600101,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/03/2020,0.0,0.0,
8058,LS25600123,05/03/2020,WOODHOUSE LANE  CP - CITY,92 PARKED CAUSING AN OBSTRUCTION                  ,70,05/03/2020,35.0,0.0,
8059,LS25600123,05/03/2020,WOODHOUSE LANE  CP - CITY,92 PARKED CAUSING AN OBSTRUCTION                  ,70,13/03/2020,35.0,0.0,
8060,LS25600123,05/03/2020,WOODHOUSE LANE  CP - CITY,92 PARKED CAUSING AN OBSTRUCTION                  ,70,16/03/2020,35.0,0.0,
8061,LS14482502,06/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,06/03/2020,0.0,0.0,
8062,LS14482513,06/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,06/03/2020,0.0,0.0,
8063,LS14482513,06/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,18/03/2020,0.0,0.0,
8064,LS17700767,06/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,50.0,0.0,
8065,LS17700778,06/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,19/03/2020,25.0,0.0,
8066,LS17700803,06/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,50.0,0.0,
8067,LS17700814,06/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,25.0,0.0,
8068,LS17700825,06/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,0.0,83.0,
8069,LS2030273A,06/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,06/03/2020,50.0,0.0,
8070,LS20302740,06/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,07/03/2020,25.0,0.0,
8071,LS20601107,06/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,20/03/2020,25.0,0.0,
8072,LS20601107,06/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,23/03/2020,25.0,0.0,
